Date,Season,Year,Month,Holiday,Weekday,Workingday,Temp,Humidity,Windspeed (km/h),WeatherID,Casual,Reg,TotalCnt
2013-01-01,1,2,1,1,2,0,6,58,10,2,421,1564,1985
2013-01-02,1,2,1,0,3,1,2,51,15,2,284,3419,3703
2013-01-03,1,2,1,0,4,1,1,53,10,2,297,3576,3873
2013-01-04,1,2,1,0,5,1,3,54,12,1,297,3821,4118
2013-01-05,1,2,1,0,6,0,4,49,9,1,509,3053,3562
2013-01-06,1,2,1,0,7,0,7,54,11,2,586,3204,3790
2013-01-07,1,2,1,0,1,1,6,54,12,2,332,4442,4774
2013-01-08,1,2,1,0,2,1,6,65,10,2,442,4869,5311
2013-01-09,1,2,1,0,3,1,7,79,5,2,356,4791,5147
2013-01-10,1,2,1,0,4,1,10,42,10,2,359,5056,5415
2013-01-11,1,2,1,0,5,1,6,75,4,3,254,3896,4150
2013-01-12,1,2,1,0,6,0,8,90,6,2,1240,4388,5628
2013-01-13,1,2,1,0,7,0,9,96,5,3,835,3310,4145
2013-01-14,1,2,1,0,1,1,12,77,16,3,444,4615,5059
2013-01-15,1,2,1,0,2,1,4,85,14,3,224,2699,2923
2013-01-16,1,2,1,0,3,1,4,87,9,3,197,3314,3511
2013-01-17,1,2,1,0,4,1,6,75,11,2,362,4455,4817
2013-01-18,1,2,1,0,5,1,2,46,19,1,340,4172,4512
2013-01-19,1,2,1,0,6,0,7,52,22,1,1199,3775,4974
2013-01-20,1,2,1,0,7,0,10,39,19,1,1657,4111,5768
2013-01-21,1,2,1,1,1,0,4,43,16,2,1027,3547,4574
2013-01-22,1,2,1,0,2,1,-3,32,25,1,89,2862,2951
2013-01-23,1,2,1,0,3,1,-6,40,13,1,69,3151,3220
2013-01-24,1,2,1,0,4,1,-4,57,20,3,20,2428,2448
2013-01-25,1,2,1,0,5,1,-6,56,11,3,44,2331,2375
2013-01-26,1,2,1,0,6,0,-1,61,9,2,179,2586,2765
2013-01-27,1,2,1,0,7,0,1,57,11,2,263,2769,3032
2013-01-28,1,2,1,0,1,1,4,75,15,3,65,2668,2733
2013-01-29,1,2,1,0,2,1,13,68,11,2,321,5513,5834
2013-01-30,1,2,1,0,3,1,17,84,22,3,182,4505,4687
2013-01-31,1,2,1,0,4,1,9,61,28,1,120,4238,4358
2013-02-01,1,2,2,0,5,1,-2,53,21,3,84,3117,3201
2013-02-02,1,2,2,0,6,0,-3,61,11,3,233,2240,2473
2013-02-03,1,2,2,0,7,0,-1,72,8,3,185,2401,2586
2013-02-04,1,2,2,0,1,1,0,45,11,2,122,3824,3946
2013-02-05,1,2,2,0,2,1,3,62,7,2,151,4462,4613
2013-02-06,1,2,2,0,3,1,6,56,13,1,179,4736,4915
2013-02-07,1,2,2,0,4,1,3,61,9,2,175,4313,4488
2013-02-08,1,2,2,0,5,1,4,71,20,3,146,3244,3390
2013-02-09,1,2,2,0,6,0,3,43,28,1,425,3041,3466
2013-02-10,1,2,2,0,7,0,2,48,9,2,501,3112,3613
2013-02-11,1,2,2,0,1,1,8,80,15,3,151,4117,4268
2013-02-12,1,2,2,0,2,1,10,57,14,1,281,5399,5680
2013-02-13,1,2,2,0,3,1,5,67,11,3,171,3385,3556
2013-02-14,1,2,2,0,4,1,6,64,10,1,355,4815,5170
2013-02-15,1,2,2,0,5,1,9,59,14,3,683,4675,5358
2013-02-16,1,2,2,0,6,0,3,68,16,3,679,2560,3239
2013-02-17,1,2,2,0,7,0,-1,42,27,2,483,2025,2508
2013-02-18,1,2,2,1,1,0,0,36,13,1,535,2826,3361
2013-02-19,1,2,2,0,2,1,6,64,21,3,163,3797,3960
2013-02-20,1,2,2,0,3,1,1,41,24,2,191,4192,4383
2013-02-21,1,2,2,0,4,1,1,41,20,1,187,3960,4147
2013-02-22,1,2,2,0,5,1,1,65,9,3,123,3439,3562
2013-02-23,1,2,2,0,6,0,4,91,10,3,211,2364,2575
2013-02-24,1,2,2,0,7,0,7,59,22,1,848,3530,4378
2013-02-25,1,2,2,0,1,1,5,48,8,2,333,4669,5002
2013-02-26,1,2,2,0,2,1,4,76,16,3,149,2635,2784
2013-02-27,1,2,2,0,3,1,10,71,13,3,363,5077,5440
2013-02-28,1,2,2,0,4,1,8,55,17,3,297,4831,5128
2013-03-01,1,2,3,0,5,1,6,49,21,2,329,4612,4941
2013-03-02,1,2,3,0,6,0,2,55,20,2,674,3067,3741
2013-03-03,1,2,3,0,7,0,3,48,22,2,475,2620,3095
2013-03-04,1,2,3,0,1,1,3,41,22,1,311,4143,4454
2013-03-05,1,2,3,0,2,1,6,34,13,3,444,4773,5217
2013-03-06,1,2,3,0,3,1,3,83,33,3,79,1057,1136
2013-03-07,1,2,3,0,4,1,7,53,26,2,315,4728,5043
2013-03-08,1,2,3,0,5,1,7,50,31,2,411,4459,4870
2013-03-09,1,2,3,0,6,0,9,41,10,1,2168,4667,6835
2013-03-10,1,2,3,0,7,0,10,47,10,1,2328,4501,6829
2013-03-11,1,2,3,0,1,1,12,75,17,2,1027,5060,6087
2013-03-12,1,2,3,0,2,1,11,70,24,3,449,3840,4289
2013-03-13,1,2,3,0,3,1,7,45,18,2,626,5116,5742
2013-03-14,1,2,3,0,4,1,5,35,24,1,440,4441,4881
2013-03-15,1,2,3,0,5,1,8,43,14,2,1201,5183,6384
2013-03-16,1,2,3,0,6,0,11,60,12,3,1813,4434,6247
2013-03-17,1,2,3,0,7,0,4,65,11,2,982,3002,3984
2013-03-18,1,2,3,0,1,1,3,70,13,3,248,2520,2768
2013-03-19,1,2,3,0,2,1,10,49,17,1,674,5327,6001
2013-03-20,1,2,3,0,3,1,8,30,20,1,556,5331,5887
2013-03-21,1,2,3,0,4,1,3,50,25,3,308,4233,4541
2013-03-22,1,2,3,0,5,1,4,37,18,1,682,4770,5452
2013-03-23,1,2,3,0,6,0,7,39,14,1,2473,4070,6543
2013-03-24,1,2,3,0,7,0,4,47,10,3,1109,2779,3888
2013-03-25,1,2,3,0,1,1,2,88,13,3,84,1849,1933
2013-03-26,1,2,3,0,2,1,6,63,15,1,647,4980,5627
2013-03-27,1,2,3,0,3,1,8,47,21,3,646,5210,5856
2013-03-28,1,2,3,0,4,1,7,48,19,2,699,4941,5640
2013-03-29,1,2,3,0,5,1,11,46,15,2,1969,5474,7443
2013-03-30,1,2,3,0,6,0,11,48,6,2,5008,4656,9664
2013-03-31,1,2,3,0,7,0,11,73,9,3,1401,2420,3821
2013-04-01,2,2,4,0,1,1,13,61,18,3,1304,5116,6420
2013-04-02,2,2,4,0,2,1,7,28,20,1,738,5208,5946
2013-04-03,2,2,4,0,3,1,7,33,18,1,929,5358,6287
2013-04-04,2,2,4,0,4,1,5,54,11,3,904,4968,5872
2013-04-05,2,2,4,0,5,1,12,53,18,3,1559,6120,7679
2013-04-06,2,2,4,0,6,0,10,40,15,1,4099,5247,9346
2013-04-07,2,2,4,0,7,0,14,49,22,2,4428,5402,9830
2013-04-08,2,2,4,0,1,1,19,51,14,2,1951,6599,8550
2013-04-09,2,2,4,0,2,1,23,52,15,1,2138,7700,9838
2013-04-10,2,2,4,0,3,1,25,47,18,2,1965,7674,9639
2013-04-11,2,2,4,0,4,1,22,63,13,2,1886,7280,9166
2013-04-12,2,2,4,0,5,1,18,86,16,3,1173,4891,6064
2013-04-13,2,2,4,0,6,0,16,49,11,1,5376,5993,11369
2013-04-14,2,2,4,0,7,0,15,52,13,2,4373,5322,9695
2013-04-15,2,2,4,0,1,1,16,63,11,3,1289,5690,6979
2013-04-16,2,2,4,1,2,0,18,71,13,2,1519,6796,8315
2013-04-17,2,2,4,0,3,1,22,70,10,3,1363,7200,8563
2013-04-18,2,2,4,0,4,1,21,72,14,3,1195,6566,7761
2013-04-19,2,2,4,0,5,1,19,74,22,3,1083,5095,6178
2013-04-20,2,2,4,0,6,0,13,54,23,3,3412,5470,8882
2013-04-21,2,2,4,0,7,0,9,43,15,2,2512,4889,7401
2013-04-22,2,2,4,0,1,1,9,60,17,2,780,6014,6794
2013-04-23,2,2,4,0,2,1,13,60,10,2,948,6561,7509
2013-04-24,2,2,4,0,3,1,18,61,20,1,1306,7246,8552
2013-04-25,2,2,4,0,4,1,13,42,17,1,1350,6982,8332
2013-04-26,2,2,4,0,5,1,14,52,9,1,1844,7230,9074
2013-04-27,2,2,4,0,6,0,16,49,8,1,4947,5957,10904
2013-04-28,2,2,4,0,7,0,16,52,13,3,3336,4585,7921
2013-04-29,2,2,4,0,1,1,14,85,12,3,480,3853,4333
2013-04-30,2,2,4,0,2,1,15,78,14,3,604,4801,5405
2013-05-01,2,2,5,0,3,1,16,53,15,1,1197,7494,8691
2013-05-02,2,2,5,0,4,1,15,64,10,1,1323,7269,8592
2013-05-03,2,2,5,0,5,1,15,60,15,2,1774,6967,8741
2013-05-04,2,2,5,0,6,0,16,58,15,2,3651,5935,9586
2013-05-05,2,2,5,0,7,0,13,62,15,2,2934,5146,8080
2013-05-06,2,2,5,0,1,1,15,82,19,3,1065,5500,6565
2013-05-07,2,2,5,0,2,1,17,84,19,3,344,4118,4462
2013-05-08,2,2,5,0,3,1,19,72,9,3,821,5848,6669
2013-05-09,2,2,5,0,4,1,19,71,8,3,1122,6748,7870
2013-05-10,2,2,5,0,5,1,22,71,10,3,1979,6978,8957
2013-05-11,2,2,5,0,6,0,22,74,11,3,2099,4432,6531
2013-05-12,2,2,5,0,7,0,16,48,21,3,3084,5019,8103
2013-05-13,2,2,5,0,1,1,13,37,18,2,1064,6377,7441
2013-05-14,2,2,5,0,2,1,13,46,10,2,1264,6858,8122
2013-05-15,2,2,5,0,3,1,22,54,13,2,1321,7505,8826
2013-05-16,2,2,5,0,4,1,25,55,15,3,1524,7448,8972
2013-05-17,2,2,5,0,5,1,23,52,10,1,2544,7611,10155
2013-05-18,2,2,5,0,6,0,18,73,11,3,1926,4479,6405
2013-05-19,2,2,5,0,7,0,21,83,7,3,2080,4654,6734
2013-05-20,2,2,5,0,1,1,23,76,11,3,1625,6829,8454
2013-05-21,2,2,5,0,2,1,24,79,14,2,1648,7455,9103
2013-05-22,2,2,5,0,3,1,26,77,15,3,1401,7586,8987
2013-05-23,2,2,5,0,4,1,24,74,16,3,1288,6848,8136
2013-05-24,2,2,5,0,5,1,14,65,26,3,1004,5694,6698
2013-05-25,2,2,5,0,6,0,14,40,24,1,3621,4418,8039
2013-05-26,2,2,5,0,7,0,17,35,16,1,5654,4306,9960
2013-05-27,2,2,5,1,1,0,17,44,7,2,4453,4614,9067
2013-05-28,2,2,5,0,2,1,23,69,10,3,1588,6017,7605
2013-05-29,2,2,5,0,3,1,27,66,14,2,1736,7621,9357
2013-05-30,2,2,5,0,4,1,27,64,14,1,1370,7455,8825
2013-05-31,2,2,5,0,5,1,27,64,17,1,1835,7355,9190
2013-06-01,2,2,6,0,6,0,28,57,18,1,3657,5911,9568
2013-06-02,2,2,6,0,7,0,26,71,19,3,2998,4748,7746
2013-06-03,2,2,6,0,1,1,24,71,13,3,1442,6033,7475
2013-06-04,2,2,6,0,2,1,21,44,13,1,1852,8180,10032
2013-06-05,2,2,6,0,3,1,21,56,10,2,1910,8165,10075
2013-06-06,2,2,6,0,4,1,21,74,14,3,1223,5702,6925
2013-06-07,2,2,6,0,5,1,22,91,14,3,242,2267,2509
2013-06-08,2,2,6,0,6,0,24,67,10,3,3575,6288,9863
2013-06-09,2,2,6,0,7,0,24,68,9,3,3434,5907,9341
2013-06-10,2,2,6,0,1,1,24,84,12,4,714,3715,4429
2013-06-11,2,2,6,0,2,1,25,67,15,2,1739,7532,9271
2013-06-12,2,2,6,0,3,1,27,56,12,2,1586,7683,9269
2013-06-13,2,2,6,0,4,1,27,66,18,3,1166,6174,7340
2013-06-14,2,2,6,0,5,1,22,54,21,3,2214,7686,9900
2013-06-15,2,2,6,0,6,0,23,50,14,1,4202,6344,10546
2013-06-16,2,2,6,0,7,0,26,61,11,2,3534,5282,8816
2013-06-17,2,2,6,0,1,1,27,71,11,3,1730,6973,8703
2013-06-18,2,2,6,0,2,1,23,77,10,3,940,6268,7208
2013-06-19,2,2,6,0,3,1,23,63,10,2,1802,8334,10136
2013-06-20,2,2,6,0,4,1,23,68,12,2,1795,8472,10267
2013-06-21,2,2,6,0,5,1,23,54,6,1,2367,8055,10422
2013-06-22,2,2,6,0,6,0,25,68,13,1,4403,6510,10913
2013-06-23,2,2,6,0,7,0,26,76,8,3,2405,4871,7276
2013-06-24,2,2,6,0,1,1,28,74,11,3,1470,6664,8134
2013-06-25,2,2,6,0,2,1,28,66,11,3,1559,7717,9276
2013-06-26,2,2,6,0,3,1,28,64,11,3,1312,7299,8611
2013-06-27,2,2,6,0,4,1,26,78,13,4,1302,7587,8889
