Date,Season,Year,Month,Hour,Holiday,Weekday,Workingday,Temp.,Windchill,Humidity(%),Windspeed(km/h),WeatherID,Casual,Reg,TotalCnt
2013-01-01,1,2,1,0,1,2,0,3.3,0.4,68,11.1,2,9,34,43
2013-01-01,1,2,1,1,1,2,0,4.4,1.7,58,11.1,2,27,86,113
2013-01-01,1,2,1,2,1,2,0,4.4,3.2,58,5.6,2,27,104,131
2013-01-01,1,2,1,3,1,2,0,3.9,1.1,62,11.1,2,16,42,58
2013-01-01,1,2,1,4,1,2,0,4.4,0,55,0,2,4,15,19
2013-01-01,1,2,1,5,1,2,0,4.4,0,60,0,2,0,5,5
2013-01-01,1,2,1,6,1,2,0,3.9,0,67,0,2,4,10,14
2013-01-01,1,2,1,7,1,2,0,3.9,2,73,7.4,2,0,5,5
2013-01-01,1,2,1,8,1,2,0,5,0,60,0,2,3,12,15
2013-01-01,1,2,1,9,1,2,0,7,0,46,0,2,7,25,32
2013-01-01,1,2,1,10,1,2,0,6.7,5.3,49,7.4,2,5,48,53
2013-01-01,1,2,1,11,1,2,0,6.7,4.5,51,11.1,2,17,97,114
2013-01-01,1,2,1,12,1,2,0,7.2,5.1,52,11.1,2,42,112,154
2013-01-01,1,2,1,13,1,2,0,7.2,5.1,52,11.1,2,21,123,144
2013-01-01,1,2,1,14,1,2,0,7.2,4.8,52,13,2,61,113,174
2013-01-01,1,2,1,15,1,2,0,7.2,5.5,52,9.3,2,37,123,160
2013-01-01,1,2,1,16,1,2,0,6.7,5.3,53,7.4,2,45,121,166
2013-01-01,1,2,1,17,1,2,0,7.2,4.8,52,13,2,23,117,140
2013-01-01,1,2,1,18,1,2,0,6.1,2.4,56,20.4,2,12,106,118
2013-01-01,1,2,1,19,1,2,0,5.6,2,58,18.5,2,20,91,111
2013-01-01,1,2,1,20,1,2,0,5.6,1.6,58,22.2,2,7,64,71
2013-01-01,1,2,1,21,1,2,0,5.6,2,58,18.5,2,9,47,56
2013-01-01,1,2,1,22,1,2,0,5,1.3,60,18.5,2,19,36,55
2013-01-01,1,2,1,23,1,2,0,4.4,2.6,63,7.4,2,6,28,34
2013-01-02,1,2,1,0,0,3,1,4.4,0.8,60,16.7,2,0,9,9
2013-01-02,1,2,1,1,0,3,1,3.9,0.2,60,16.7,2,2,6,8
2013-01-02,1,2,1,2,0,3,1,3.3,0.8,55,9.3,2,0,2,2
2013-01-02,1,2,1,3,0,3,1,3.3,0.8,57,9.3,2,0,3,3
2013-01-02,1,2,1,4,0,3,1,2.8,0.2,57,9.3,2,0,4,4
2013-01-02,1,2,1,5,0,3,1,2.2,1.3,57,13,2,1,28,29
2013-01-02,1,2,1,6,0,3,1,1.7,2.3,57,14.8,2,2,91,93
2013-01-02,1,2,1,7,0,3,1,1.1,4.1,56,22.2,2,3,243,246
2013-01-02,1,2,1,8,0,3,1,1.7,2.9,52,18.5,2,6,490,496
